name,slug,plex_slug,id,callSign,tmsid,time_shift,notes,notes2,notes3
365BLK,365blk,plex-365blk,6745dca72832b870acf53220,365BLKF,169857,,,0,0
Acorn TV Mysteries,acorn-tv-mysteries-2,plex-acorn-tv-mysteries-2,6848269efd17cd629e5df2e9,ACNMYST,180558,,,0,1
American Crimes,american-crimes,plex-american-crimes,6467891c73e5e029428f0e16,ACRM,138396,,,0,8
AsianCrush,asiancrush,plex-asiancrush,5eea605474085f0040ddc767,ACRUSH,130620,,,0,0
AccuWeather NOW,accuweather-now-2,plex-accuweather-now-2,6151d74593dbf246f0843f01,ACUWNW,120551,,,0,0
ALF,alf,plex-alf,62d1ecc8e44d39da220722aa,ALF,89311,,,0,1
All Weddings We TV,all-weddings-we-tv,plex-all-weddings-we-tv,60de0520281b17002cd1d4c4,ALLWED,117227,,,0,1
AMC en Español,amc-en-espanol,plex-amc-en-espanol,62d1efa6c33948ea4ceedbcf,AMCNESP,125090,,,0,1
AMC Thrillers,amc-thrillers,plex-amc-thrillers,5fc705e2a2236e002d69f36d,AMCRSH,115678,,,0,8
ANIME x HIDIVE,anime-x-hidive-2,plex-anime-x-hidive-2,63dea56a2a2abb171ff6dadf,ANIMEH,132816,,,0,0
AXS TV Now,axs-tv-now,plex-axs-tv-now,606605549dbfca002d2ae875,AXSTNST,123156,,,0,0
BBC News (North America),bbc-news-north-america,plex-bbc-news-north-america,646fab0e43d6d6838db81a6a,BBCWDE,101443,,,0,0
Bounce XL,bouncexl,plex-bouncexl,623d9b0370560b72147a994a,BOUNSTR,120372,,,0,0
Bravo Vault,bravo-vault,plex-bravo-vault,645e328fb164db00b4547f05,BRVVLT,138400,,,0,8
Caso Cerrado,telemundo-romance,plex-telemundo-romance,6478acb5c83f56da796f166d,CASOCER,138528,,,0,1
CBC News,cbc-news-international,plex-cbc-news-international,64c91830ea7db2f52688c52c,CBCINT,124721,,,0,0
Cheddar,cheddar-news,plex-cheddar-news,5f6b8e5900b0950040d0f2af,CHEDSTR,101103,,,0,0
Cirque du Soleil,cirque-du-soleil,plex-cirque-du-soleil,67642f277c5e3b38af72dcdb,CIDUS,167590,,,0,0
Stingray Classica Stream,stingray-classica-stream,plex-stingray-classica-stream,62d7f68fb19cbf65dc7bef7d,CLA008A,122326,,,0,0
Comedy Dynamics,comedy-dynamics,plex-comedy-dynamics,5efe1de5e0b3f5003f5d9f76,COMCLN,115447,,,0,8
Court TV,court-tv,plex-court-tv,6245d867ddf1ba983d5b8bf8,COURTST,123605,,,0,0
Curiosity NOW,curiosity-now-5,plex-curiosity-now-5,64831c8be3541c909e96d240,CURINOW,123667,,,0,0
Dog Whisperer,dog-whisperer,plex-dog-whisperer,652a8b001b5c74bc83cf727c,DOGWHSP,147688,,,0,0
Dove,dove-channel,plex-dove-channel,5efe1de8e0b3f5003f5d9f91,DOVESTR,110480,,,0,0
EarthXtra,earthxtra,plex-earthxtra,65f0cae2046e6131ecc3183f,EARTHXT,175889,,,0,0
The Ed Sullivan Show,the-ed-sullivan-show,plex-the-ed-sullivan-show,640205c68ecb41f2d89d5814,EDSSHOW,135306,,,0,1
E! Keeping Up,e-keeping-up,plex-e-keeping-up,645e328e3ea1d2d705ef8ab2,EKEEPUP,138393,,,0,0
El Rey Rebel,el-rey-rebel,plex-el-rey-rebel,6335ad3170dc93c71ab5ce09,ELREYST,124328,,,0,0
FanDuel TV Extra,fanduel-tv-extra-2,plex-fanduel-tv-extra-2,64e9f17c7511e20e999d6c34,FDTVX,145517,,,0,0
Fight Network,fight-network,plex-fight-network,606605549dbfca002d2ae877,FIGHTNS,123170,,,0,1
Farscape,farscape,plex-farscape,635195e9ccee3e1547a8831a,FSCAPE,130175,,,0,0
Fubo Sports Network,fubo-sports-network,plex-fubo-sports-network,5fc705f68aba71002d8b7b37,FUBOSNX,121984,,106100,0,0
FUEL TV,fuel-tv-4,plex-fuel-tv-4,62d15f16001c04178f555e40,FUEL,116115,,,0,0
FOX Weather,fox-weather,plex-fox-weather,6351b29cb940534786b2ec17,FWX,121307,,,0,0
9 Story Presents: Garfield and Friends,9-story-presents-garfield-and-friends,plex-9-story-presents-garfield-and-friends,6745dca72832b870acf5321f,GFDNFRD,155811,,,0,1
The Grio,grio-ott,plex-grio-ott,5fe27da18cdd46002d85efed,GRIOOTT,116018,,,0,0
Grit Xtra,grit-xtra,plex-grit-xtra,62b45f15b4508e0eedacdf25,GRITX,124040,,,0,0
GameTVGO,gametvgo-2,plex-gametvgo-2,64d2bdf1b18b113e0c610113,GTVGO,165441,,,0,1
GUSTOTV,gusto-tv,plex-gusto-tv,5f8746eabd529300418246d9,GUSTOTV,111140,,,0,0
HBCUGO SPORTS,hbcugo-sports,plex-hbcugo-sports,631a212e82b744e0309aa56e,HBCUGO,128535,,,0,0
Home.Made.Nation,home-made-nation,plex-home-made-nation,5f74cf82ffbe690040689f47,HMN,113673,,,0,1
IFC Films Picks,ifc-films-picks,plex-ifc-films-picks,5fc705eb052f6f002ef46057,IFCFILM,115677,,,0,0
Slightly Off IFC,slightly-off-ifc,plex-slightly-off-ifc,5fc705eea2236e002d69f5ae,IFCOFF,116019,,,0,8
TNA Wrestling Channel,tna-wrestling-channel,plex-tna-wrestling-channel,606605549dbfca002d2ae873,IMPACTW,121991,,,0,1
Ion Mystery,ion-mystery,plex-ion-mystery,62b45f15b4508e0eedacdf26,IMYSSTR,123651,,,0,0
ION Plus,ion-plus-streaming,plex-ion-plus-streaming,627e347795b0f50af26d78f9,IONPSTR,117518,,,0,0
ION,ion-streaming,plex-ion-streaming,624c37af6281708eabbbe26b,IONSTR,122912,,,0,0
Telemundo Texas,telemundo-texas,plex-telemundo-texas,6478acb5c83f56da796f1671,KTMDF,136700,,,0,1
NBC 5 Dallas Fort Worth News,nbc-5-dallas-fort-worth-news,plex-nbc-5-dallas-fort-worth-news,64511fb8b1345b8656370295,KXASSTR,124035,,,0,1
