name,slug,id,callSign,tmsid,time_shift
365BLK,365blk,68fa84637ac952737656ae5f-6745dca72832b870acf53220,365BLKF,169857,
AsianCrush,asiancrush,68fa84637ac952737656ae5f-5eea605474085f0040ddc767,ACRUSH,130620,
AccuWeather NOW,accuweather-now-2,68fa84637ac952737656ae5f-6151d74593dbf246f0843f01,ACUWNW,120551,
ALF,alf,68fa84637ac952737656ae5f-62d1ecc8e44d39da220722aa,ALF,89311,
All Weddings We TV,all-weddings-we-tv,68fa84637ac952737656ae5f-60de0520281b17002cd1d4c4,ALLWED,117227,
AMC en Español,amc-en-espanol,68fa84637ac952737656ae5f-62d1efa6c33948ea4ceedbcf,AMCNESP,125090,
Stories by AMC,stories-by-amc,68fa84637ac952737656ae5f-5fc705e2a2236e002d69f3ba,AMCPRES,115539,
AMC Thrillers,amc-thrillers,68fa84637ac952737656ae5f-5fc705e2a2236e002d69f36d,AMCRSH,115678,
ANIME x HIDIVE,anime-x-hidive-2,68fa84637ac952737656ae5f-63dea56a2a2abb171ff6dadf,ANIMEH,132816,
BBC News (North America),bbc-news-north-america,68fa84637ac952737656ae5f-646fab0e43d6d6838db81a6a,BBCWDE,101443,
Bloomberg TV,bloomberg-tv-2,68fa84637ac952737656ae5f-61d73ab0a7b7c7f703418516,BLOOM4K,114666,
Bounce XL,bouncexl,68fa84637ac952737656ae5f-623d9b0370560b72147a994a,BOUNSTR,120372,
CBC News,cbc-news-international,68fa84637ac952737656ae5f-64c91830ea7db2f52688c52c,CBCINT,124721,
Cheddar,cheddar-news,68fa84637ac952737656ae5f-5f6b8e5900b0950040d0f2af,CHEDSTR,101103,
Stingray Classica Stream,stingray-classica-stream,68fa84637ac952737656ae5f-62d7f68fb19cbf65dc7bef7d,CLA008A,122326,
Comedy Dynamics,comedy-dynamics,68fa84637ac952737656ae5f-5efe1de5e0b3f5003f5d9f76,COMCLN,115447,
Court TV,court-tv,68fa84637ac952737656ae5f-6245d867ddf1ba983d5b8bf8,COURTST,123605,
Curiosity NOW,curiosity-now-5,68fa84637ac952737656ae5f-64831c8be3541c909e96d240,CURINOW,123667,
Dog Whisperer,dog-whisperer,68fa84637ac952737656ae5f-652a8b001b5c74bc83cf727c,DOGWHSP,147688,
Dove,dove-channel,68fa84637ac952737656ae5f-5efe1de8e0b3f5003f5d9f91,DOVESTR,110480,
The Ed Sullivan Show,the-ed-sullivan-show,68fa84637ac952737656ae5f-640205c68ecb41f2d89d5814,EDSSHOW,135306,
El Rey Rebel,el-rey-rebel,68fa84637ac952737656ae5f-6335ad3170dc93c71ab5ce09,ELREYST,124328,
FanDuel TV Extra,fanduel-tv-extra-2,68fa84637ac952737656ae5f-64e9f17c7511e20e999d6c34,FDTVX,145517,
FOX SOUL,fox-soul,68fa84637ac952737656ae5f-6377e8c513bb6b1757e14693,FOXSOUL,119212,
Farscape,farscape,68fa84637ac952737656ae5f-635195e9ccee3e1547a8831a,FSCAPE,130175,
Fubo Sports Network,fubo-sports-network,68fa84637ac952737656ae5f-5fc705f68aba71002d8b7b37,FUBOSNX,106100,
FUEL TV,fuel-tv-4,68fa84637ac952737656ae5f-62d15f16001c04178f555e40,FUEL,116115,
FOX Weather,fox-weather,68fa84637ac952737656ae5f-6351b29cb940534786b2ec17,FWX,121307,
9 Story Presents: Garfield and Friends,9-story-presents-garfield-and-friends,68fa84637ac952737656ae5f-6745dca72832b870acf5321f,GFDNFRD,155811,
The Grio,grio-ott,68fa84637ac952737656ae5f-5fe27da18cdd46002d85efed,GRIOOTT,116018,
Grit Xtra,grit-xtra,68fa84637ac952737656ae5f-62b45f15b4508e0eedacdf25,GRITX,124040,
GameTVGO,gametvgo-2,68fa84637ac952737656ae5f-64d2bdf1b18b113e0c610113,GTVGO,165441,
GUSTOTV,gusto-tv,68fa84637ac952737656ae5f-5f8746eabd529300418246d9,GUSTOTV,111140,
HBCUGO SPORTS,hbcugo-sports,68fa84637ac952737656ae5f-631a212e82b744e0309aa56e,HBCUGO,128535,
Home.Made.Nation,home-made-nation,68fa84637ac952737656ae5f-5f74cf82ffbe690040689f47,HMN,113673,
IFC Films Picks,ifc-films-picks,68fa84637ac952737656ae5f-5fc705eb052f6f002ef46057,IFCFILM,115677,
Slightly Off IFC,slightly-off-ifc,68fa84637ac952737656ae5f-5fc705eea2236e002d69f5ae,IFCOFF,116019,
Ion Mystery,ion-mystery,68fa84637ac952737656ae5f-62b45f15b4508e0eedacdf26,IMYSSTR,123651,
Infamous TV,mob-tv,68fa84637ac952737656ae5f-61fb10e8fe90430654c57530,INFMSTV,122376,
ION Plus,ion-plus-streaming,68fa84637ac952737656ae5f-627e347795b0f50af26d78f9,IONPSTR,117518,
ION,ion-streaming,68fa84637ac952737656ae5f-624c37af6281708eabbbe26b,IONSTR,122912,
Laff More,laff-more,68fa84637ac952737656ae5f-648095b14e104622d093d902,LAFFTV,137609,
Court TV Legendary Trials,court-tv-legendary-trials,68fa84637ac952737656ae5f-648095ad190e97d15c3470e9,LEGTRI,137506,
LiveNOW from FOX,livenow-from-fox,68fa84637ac952737656ae5f-6377ea0e13bb6b1757e14695,LIVENOW,119219,
Lone Star,lone-star,68fa84637ac952737656ae5f-6196c9241d310bf925e02616,LS,,
Midnight Pulp,midnight-pulp,68fa84637ac952737656ae5f-5ef4e1b40d9ad000423c4427,MPULP,124312,
MSG SportsZone,msg-sportszone,68fa84637ac952737656ae5f-63b5df3f27159bc9de3062aa,MSGZONE,132782,
MotorTrend FAST TV,motortrend-fast-tv,68fa84637ac952737656ae5f-6373bfe48e2036e4410ddb82,MTFAST,126737,
Nashville,nashville,68fa84637ac952737656ae5f-6087ff3ae99ff1002ce1465b,NASH,118859,
NBC News NOW,nbc-news-now,68fa84637ac952737656ae5f-5fc70600dd53a6002d8f93ca,NBCNN,114174,
Stingray Naturescape,stingray-naturescape,68fa84637ac952737656ae5f-60d324f59adce5002c41dbc5,NESCAPP,115729,
NESN NATION,nesn-nation,68fa84637ac952737656ae5f-6759a32270e41582b1b7a236,NESNNAT,166712,
NFL Channel,nfl-channel,68fa84637ac952737656ae5f-61e805952502a7a6fa84d70f,NFLDC1,121705,
Non-Stop '90s,non-stop-90s,68fa84637ac952737656ae5f-65bd5a538314c24e11553543,NS90S,151830,
Outlaw,outlaw,68fa84637ac952737656ae5f-66213052abd90e037ccd1fe4,OUTLW,157277,
TODAY All Day,today-all-day,68fa84637ac952737656ae5f-5fc70600598c41002da3dd39,PK20,114138,
So... Real,so-real,68fa84637ac952737656ae5f-5f0ff262d71dcb00449ec012,REALSTR,114871,
RetroCrush,retrocrush,68fa84637ac952737656ae5f-5ef4e1b40d9ad000423c442a,RRCRUSH,119355,
REVOLT Mixtape,revolt-mixtape-2,68fa84637ac952737656ae5f-634aa92e543c280baa13d91d,RVLTMXT,129774,
Screambox TV,screambox-tv,68fa84637ac952737656ae5f-641db53c2f7a0fca29488c99,SBOXTV,116607,
Scares by Shudder,scares-by-shudder-3,68fa84637ac952737656ae5f-650b38f490baad1963ad96f9,SBSHUDD,145846,
Scripps News,newsy,68fa84637ac952737656ae5f-5fc705dda2236e002d69f211,SCNEWST,120010,
Stingray Greatest Holiday Hits,stingray-greatest-holiday-hits,68fa84637ac952737656ae5f-61aa97d4113e1e5137fd5325,SM047D,113306,
Stingray Karaoke,stingray-karaoke-5,68fa84637ac952737656ae5f-5fc705daa2236e002d69f108,SMUS67,110657,
Qello Concerts,qello-concerts,68fa84637ac952737656ae5f-5fe27da28c198b002d179199,SMUS68,113296,
SportsGrid,sportsgrid,68fa84637ac952737656ae5f-5ef11485d33ab9004048a1ca,SPOGRID,112732,
The Bob Ross Channel,the-bob-ross-channel,68fa84637ac952737656ae5f-5efe1de6e0b3f5003f5d9f88,TBRCSTR,114491,
Tastemade,tastemade,68fa84637ac952737656ae5f-5ef51c802ddee5003f1c0225,TMFRE16,107076,
The Walking Dead Universe,the-walking-dead-universe-2,68fa84637ac952737656ae5f-5fc705ff2f220e002d5e6bce,TWDU,115540,
Vevo 2K,vevo-2k,68fa84637ac952737656ae5f-615593004054ee0a9771147a,VV2K,121125,
Vevo '70s,vevo-70s-2,68fa84637ac952737656ae5f-61559303fa828e7f1a0ccfbd,VV70,121122,
Vevo '80s,vevo-80s,68fa84637ac952737656ae5f-615700a23a4a316ad53ad716,VV80,121123,
Vevo '90s,vevo-90s,68fa84637ac952737656ae5f-61559301bcb11028da48b065,VV90,121124,
Vevo Country,vevo-country,68fa84637ac952737656ae5f-632997b7b73f82d6e2ad3b68,VVC,120902,
Vevo Hip-Hop,vevo-hip-hop,68fa84637ac952737656ae5f-632997b7f79ba3e1368f8b97,VVHH,120900,
Vevo Pop,vevo-pop,68fa84637ac952737656ae5f-616743c63727d6d85751802a,VVP,115694,
All Reality We TV,all-reality-we-tv,68fa84637ac952737656ae5f-5fc705ff2f220e002d5e6bec,WEREAL,115679,
Paranormal Files,paranormal-files,68fa84637ac952737656ae5f-65e87f35335524a69e8e0ce0,XPLPF,147639,
Yu-Gi-Oh!,yu-gi-oh-6,68fa84637ac952737656ae5f-6617f52f0049fcb8e2b0d5b8,YUGIOH,155772,
Euronews,euronews,68fa84637ac952737656ae5f-60089d90f682a3002c348299,,19039,
KMGH,kmgh,68fa84637ac952737656ae5f-6578a9dcfb1a19389c93fc7b,,33903,
Smooth Jazz,smooth-jazz,68fa84637ac952737656ae5f-62ee784852f7d73061eec493,,45219,
Soul Storm,soul-storm,68fa84637ac952737656ae5f-61aaa17a784a2161d3caf801,,67563,
Hip-Hop/R&B,hip-hop-randb,68fa84637ac952737656ae5f-62ee7ae2271f393d2d9f709e,,67564,
Easy Listening,easy-listening,68fa84637ac952737656ae5f-62ee76b5271f393d2d9f709a,,67573,
Nothin' But 90s,nothin-but-90s,68fa84637ac952737656ae5f-62f13eeded056a1db9ef3d54,,68620,
The Spa,the-spa,68fa84637ac952737656ae5f-62f11395586633e88e3a3274,,68632,
